Singer	Title	Actual lyrics	text	
Atif Aslam	Allah Duhai Hai	"Har ghadi har paher mujhe
Bas khayal hai ab tera
Kaise katenge din tere bin
Yahi bas sawaal hai ab mera...
 
We are coming back to the race
Yeah I'm coming back to the race
Tell me if you ready!
Can you take the pace?
This time wanna make you see
Ain't nobody gonna play game like me
Undercover call I eyes... yeah
You know, You know
You loose when you fall the dice
Just gonna chew and make you see
Make you see...
Ain't nobody gonna run a race like me
 
Ek baar nahi yeh dil sau baar hai toota
Par shauq mohabbat ka ab tak na choota
Ek baar nahi yeh dil sau baar hai toota
Par shauq mohabbat ka ab tak na choota
 
Muskurate huey chehre
Chhupaye hain raaz gehre
Yahaan toh har chehra hai jhootha
 
Allah duhai hai
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai, haan tere pyar mein
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai, haan tere pyar mein
Haan tere pyar mein
 
(You can't escape my love...)
 
Haan hai khata meri mila jo bhi
Yahi poochhe: wafaa kyun ki?
Wafaa kyun ki?
Wafa toh hoti kahaan aajkal hai kahin par bhi
Ishq me jo agar pal do gujar jaayein
Toh phir saari umar kya hai
Maane naa maane koi baat
Maano ki jeene ka yeh matlab hai
Ishq hi ek mazhab hai
Ishq naa ho toh Rab hai rootha
 
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai haan tere pyar mein
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai haan tere pyar mein
 
Haan hai zamaane se tu beparwaah
Main beparwaah to phir kaisa koi parda
Haan koi parda jo hota toh dil kya fida hota
Ishq naa ho duaayen ki
Ishq ho to duaayen ki, sazaayein li
Maane na tauba hai kaisi balaa hai, ki is dil ko
Bada roka chala khaane hai phir dhokha
Yeh dil apni fitrat se toota
 
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai, haan tere pyaar mein
Allah duhai hai, phir bewafaai hai
Mushqil rihaai hai, haan tere pyaar mein
 
Yeah I'm coming back to the race
Tell me if you ready!
Can you take the pace?
This time wanna make you see
Ain't nobody gonna play game like me
Undercover call I eyes... yeah
You know, You know
You loose when you fall the dice
Just gonna chew and make you see
Make you see...
Ain't nobody gonna run a race like me"	"In every second every moment
I have the thought of You
How will the days go without You
That is my only question
 
We are coming back to the race
Yeah I'm coming back to the race
Tell me if you're ready!
Can you take the pace?
This time wanna make you see
Ain't nobody gonna play game like me
Undercover core like eyes... yeah
You know, You know
You loose when you call the die
Just gonna chew and make you see
Make you see...
Ain't nobody gonna run a race like me
 
Not just once, but this heart has been broken a hundred times
But the desire of love has not gone
Not just once, but this heart has been broken a hundred times
But the desire of love has not gone
 
These smiling faces
Are hiding dark secrets
Every face here is false
 
I complain to You God
I complain to You God, It's unfaithfulness again
It's difficult to get free, Yes in Your Love
I complain to You God, It's unfaithfulness again
It's difficult to get free, Yes in Your Love
Yes in Your Love
 
You can't escape my love...
 
Yes it is my fault that You got this
I ask only this: Why did You Love?
Why did You Love?
Where is Love nowadays anywhere
If we spend a few moments in Love now
Then what is the whole life worth
It doesn't listen to any talk
Just believe that Life has only one meaning
Love is the only religion
If there is no Love then even the God is angry
 
I complain to You God, It's unfaithfulness again
Its difficult to get free, Yes in Your Love
I complain to You God, It's unfaithfulness again
It's difficult to get free, Yes in Your Love
 
Yes You are regardless of the world
I am also regardless, then why any veil from me
Yes if there was a veil then would any heart fall for it
I prayed for love not to happen
I prayed for love to happen, I took punishment
I have understood that this is a huge burden
I tried to stop this heart a lot, but it going once again to get cheated
This heart is broken because of its own nature
 
I complain to You God, It's unfaithfulness again
It's difficult to get free, Yes in Your Love
I complain to You God, It's unfaithfulness again
It's difficult to get free, Yes in Your Love
 
Yeah I'm coming back to the race
Tell me if you're ready!
Can you take the pace?
This time wanna make you see
Ain't nobody gonna play game like me
Undercover core like eyes... yeah
You know, You know
You loose when you call the die
Just gonna chew and make you see
Make you see...
Ain't nobody gonna run a race like me"	
Atif Aslam	Be Intehaan	"Suno na kahe kya suno na
Dil mera suno na, suno zara
Teri baahon mein mujhe rehna hai raat bhar
Teri baahon mein hogi subah
 
Be-intehaan
Yoon pyaar kar be-intehaa
Dekha karoon saari umar
Tere nishaan be-intehan
Koi kasar naa rahe, meri khabar na rahe
Chhoo le mujhe is kadar be-intehaan
 
Jab saanson mein teri saansein ghuli toh
Phir sulagne lage
Ehsaas mere mujhse kehne lage
Haan baahon mein teri aa ke jahaan do
Yoon simatne lage
Sailaab jaise koi behne lage
Khoya hoon main aagosh mein
Tu bhi kahaan ab hosh mein
Makhmali raat ki ho naa subah
Be intehaan, be-intehaan
Yoon pyar kar be-inteha
 
Gustakhiyan kuch tum karo
Kuch hum karein is tarah
Sharma ke do saaye hain jo
Muh pher lein hum se yahaan
 
Haan chhoo to liya hai ye jism tune
Rooh bhi choom le
Alfaaz bheege bheege kyun hain mere
Haan yoon choor ho ke majboor ho ke
Qatra qatra kahe
Ehsaas bheege bheege kyun hain mere
Do bekhabar bheege badan
Ho besabar bheege badan
Le rahe raat bhar angdaiyaan
 
Be inteha, be inteha
Yoon pyaar kar, be inteha
Dekha karoon saari umar
Tere nishan, be-intehaan
Koi kasar na rahe, meri khabar na rahe
Chhoo le mujhe is kadar be-intehaan"	"Listen, what my heart says,
Listen, listen for a while..
I have to stay in your arms all night long..
The morning will be in your arms..
 
Limitless,
Love me without any limits..
I'd see, all my life,
your signs, limitless..
There should be nothing lacking, I should be out of consciousness,
Touch me so much, so much as without limits..
 
When your breaths got dissolved into mine,
feelings began to fire up again,
they began talking to me..
Coming into your arms,
Both my worlds
Began to contract.
I am lost in your arms,
you're not conscious either..
There be no morning to velvetty night,
Limitless...
Love me in such a way, without any limits..
 
Do some effrontery..
and some I do, in such a way,
that even the two shadows that we see here,
feel shy and turn their faces the other way..
 
You have touched this body
Now kiss my soul too..
Why are my words all drenched
Being all broken, being helpless,
every element says,
why are my feelings all drenched
Two unaware drenched bodies,
two impatient drenched bodies
are turning all night..
 
Limitless,
Love me without any limits..
I'd see, all my life,
your signs, limitless..
There should be nothing lacking, I should be out of consciousness,
Touch me so much, so much as without limits.."	
Atif Aslam	Jeene Laga hoon	"Jeene Laga Hoon Pehle Se Zyada
Pehle Se Zyada Tum Pe Marne Laga Hoon...

Main Mera Dil Aur Tum Ho Yahaan...
Phir Kyun Ho Palkein Jhukayein Wahan...
Tum Sa Haseen Maine Dekha Nahin...
Tum Isse Pehle The Jane Kahaan...

Jeene Laga Hoon Pehle Se Zyada
Pehle Se Zyada Tum Pe Marne Laga...

Rehte Ho Aake Jo Tum Paas Mere
Tham Jaaye Pal Ye Wahin, Bass Main Yeh Sochun...

[Female:] Sochu Main Tham Jaaye Pal Yeh Paas Mere Jab Ho Tum... [x2]

Chalti Hai Saansein Pehle Se Zyada
Pehle Se Zyada Dil Theharne Laga...

Tanhaiyon Mein Tujhe Dhoondhe Mera Dil
Har pal yeh tujhko hi soche bhala kyun

[Female: x2]
Tanhai Mein Dhoondhe Tujhe Dil
Har pal tujhko soche...

Milne lage dil, pehle se zyada. Pehle se zyada ishq hone laga..."	"I have started living more than beforee
I have started dying more for you than before
I, my heart and you are here
Then why are you there with leaning eyelids
I have not seen anyone before as beautiful as you
Where were you before this
I have started living more than beforee
I have started dying more for you than before
When you come and be with me
I just want those moments to stop there
I want those moments to stop there
When you are with me
The breathes become faster than before
The heart starts stopping more than before
My heart finds you when it feels lonely
Why does it think of you every moment
The heart finds you when it feels lonely
It thinks of you every moment
The hearts have started to meet more than before
The love has started to happen more than before"	1
Atif Aslam	Bakhuda Tumhi ho	"Tu hi ehsason mein
Tuhi jazbaton mein
Tu hi lamhaton mein
Tu hi din raaton mein

Bakhuda tumhi ho, har jagah tumhi ho
Haan mein dekhun jahan jub
Us jagah tumhi ho
Yeh jahan tumhi ho, woh jahan tumhi ho
Is zameen se falak ke darmiyan, tumhi ho
Tumhi ho beshumar, tumhi ho
Tumhi ho, mujh mein haan, tumhi ho,
Tumhi ho
Ho...

Kaise batayein tumhein, aur kis tarah yeh
Kitna tumhein hum chahte hain
Saaya bhi tera dikhe, to paas jaake
Usmein simat hum jaatay hain

Raasta tumhi ho, rehnuma tumhi ho,
Jiski khwahish hai humko, woh panah tumhi ho,
Tumhi ho, beshumaar, tumhi ho
Tumhi ho mujh mein haan, tumhi ho

Tum hi ehsason mein,
Tum hi jazbaton mein,
Tum hi lamhaton mein,
Tum hi din raaton mein...

Kaise batayein tumhein, shub mein tumhare
Khwab haseen jo aatay hain,
Kaise batayein tumhein, lamz woh saare,
Jism ko jo mehkate hain

Ifteda tumhi ho, inteha tumhi ho
Tum ho jine ka maksad
Aur wajah tumhi ho...

Bakhuda tumhi ho, har jagah tumhi ho
Haan mein dekhua jahan jab, us jagah tumhi ho

Yeh jahan tumhi ho, woh jahan tumhi ho
Iss zameen se falak ke, darmiyan tumhi ho

Tumhi ho, beshumar, tumhi ho
Tumhi ho, mujh mein haan, tumhi ho
Tumhi ho
Ho..."	"Only you are in my feelings Only you are in my emotions Ony you are in my moments Ony you are in my days and nights
I swear to God, you are the one You are at every place Yes, wherevever and whenever I look You are there
You are this world You are the other world You are between the earth and the sky You are the precious one 
You are the one Yes,you are in me 
How should I tell you and in which way That how much I love you Even if I see your shadow,I go near it And I shrink in it
You are the path You are the protector Which I desire You are that shelter
How should I tell you The beautiful dreams I have at night about you 
How should I tell you About your touch That brings fragnance to my body
You are the start You are the ending You are the aim of my life And you are the reason
"	
Atif Aslam	Tere Bin	"Tere bin main yun kaise jiya
Kaise jiya tere bin
Tere bin main yun kaise jiya
Kaise jiya tere bin
Lekar yaad teri raaten meri kati
Lekar yaad teri raaten meri kati
Mujhse baaten teri karti hai chandni
Tanha hai tujh bin raaten meri
Din mere din ke jaise nahi
Tanha badan tanha hai ruh nam meri aankhen rahe
Aaja mere ab rubaru
Jeena nahi bin tere
Tere bin main yun kaise jiya
Kaise jiya tere bin
Tere bin main yun kaise jiya
Kaise jiya tere bin
Kab se aankhen meri raha mein tere bichhi
Kab se aankhen meri raha mein tere bichhi
Bhule se hi kabhi tu mil jaaye kahin
Bhule na mujhse baaten teri
Bheegi hai har pal aankhen meri
Kyun saans loon kyun main jiyu
Jeena bura sa lage
Kyun ho…"	"Without you, how did I live like this? 
How did I live without you? 
With your memories,my nights passed
The moonlight talks to me about you 
My nights are lonely with out you 
My days aren't like days 
Lonely body, lonely soul, my eyes stay wet 
Come to me now
I don't want to live without you 
Since when are my eyes layed in your path? 
(I wish)Atleast let us meet each other accidently
I can't forget your words 
My eyes are wet every second 
Why should I breath? Why should I live? 
Living feels bad
Why did you become unfaithful, tell me the reason 
"	2
Atif Aslam	Zindagi Aa rha Hoon Main	"Main sarphira musaafir
Hawaaon pe chalun
Yaaron ka main yaar hoon
Haan hans ke sab se milun

Inn khali khali jebon mein
Iraade behisaab hain
Inn chhoti chhoti aankhon mein
Bade bade se khwab hain

Sajaa de meri raahein tu
Khol de apni baahein tu

Aa raha hoon main
Zindagi aa raha hoon main
Kar le aa mujhse dosti
Zindagi aa raha hoon main (x2)

Dil ki suni hai maine toh
Dil ki hai main sununga
Paagal sa jiya hoon main
Paagal sa hi jeeyunga
Mujhe kya jeet haar se
Mujhe pyaar pyaar se
Hey…

Aa raha hoon main
Zindagi aa raha hoon main
Kar le aa mujhse dosti
Zindagi aa raha hoon main (x2)

(aa raha hoon main..)

Utha do aasmaano ko
Utha do aur bhi ooncha
Main apne pankh toh kholun
Mazaa toh aaye udne ka
Mujhme hausla bhara
Mujhe tu aazmaa zaraa

Aa raha hoon main
Zindagi aa raha hoon main
Kar le aa mujhse dosti
Zindagi aa raha hoon main (x2)"	"I am a crazy traveller,
I walk on the winds..
I am a friend of friends,
I meet everybody with a smile..
adorn my paths,
open your arms..
I am coming..
O life I am coming..
come, be friends with me..
O life, I am coming..
I have listened to my heart,
I will listen to my heart only..
I have lived like crazies,
I will live like crazy..
I don’t care for victory and loss,
I love love.
rise the skies,
rise the skies even higher..
I’ll spread my wings,
there will be fun of flying..
there is courage filled in me,
come, try me.."	1
Atif Aslam	O Saathi	"Allah Mujhe Dard Ke Kaabil Bana Diya
Toofaan Ko Hi Kashti Ka Saahil Bana Diya Bechainiyaa Sameyt Ke Saare Jahaan Ki Jab Kuchh Na Ban Saka Toh Mera Dil Banaa Diya
O Saathi Aa Bhi Jaa 
In Baahon Mein Ik Dafaa 
Toh Sukoon Ho Saanson Mein Be-Intehaa 
O Saathi Aa Bhi Jaa 
Kar De Bayaan Tu Bhi Zara 
Phir Tujhe Nigaaho Mein Main Rakh Loon Sadaa
Aankhein Moonde
Toh Jaane Kisse Dhoondey
Ke Soya Jaaye Na
Ke Soya Jaaye Na
Kisse Dhoondey
Ye Khwahishon Ke Boonde
Ke Soya Jaaye Na
Ke Soya Jaaye Na
Maano Nindiya Piroya Jaaye Na
Maano Nindiya Piroya Jaaye Na
Allah Mujhe Dard Ke Kaabil Bana Diya
Toofaan Ko…"	"O God, you made me
capable of bearing with pain.
you have made the storm itself
the shore of this boat (of mine).
collecting the restlessness 
of the whole world,
when nothing else could be made with it,
you made my heart.
O my companion, without you,
my shore is unclear.
when eyes are shut, 
I don't know whom they search for,
that I'm not able to sleep.
as if (pearl of) sleep can't be weaved (into a lace).
"	2
Atif Aslam	Chod Gaye Raste	"Chupke se aaye sabke darmiyaan
Sirf mein janu tu hai kahaan kahaan) - (2)
 
Hawa woh, sur woh, geet woh, aawaaz woh
Narami garami aahat ya saans woh
Kyun chhod gaye raste, kabhi saath chale the jinpe
 
Hawa woh, sur woh, geet woh, aawaaz woh
Narami garami aahat ya saans woh
Aahat sunu tumko dekhu, jab dekh lu kya main kahu
Honth khule jubaan kund ho, labjo ki khoj mein main gum rahu
Ho o o o o o...
Na na na na na.....
Kyun chhod gaye raste, kabhi saath chale the jinpe - (4)
Yeh ghadiyon ki saajish hai, ke aap aaye na
Yeh meri gujaarish, aaye toh jaane na"	"Very silently you came between everyone,
Only I'm aware wherever you are.(x2)
 
She's the wind, she's the tone, she's the song, she's the voice,
She is Softness, warmth, tune or breath .
Why did you leave the streets, once we walked on.
 
She's the wind, she's the tone, she's the song, she's the voice,
She is Softness, warmth, tune or breath.
I hear the tune, I see you, when I see you I'm speechless.
Lips get opened, tongue gets numb, I feel lost looking for words.
Ho o o o o o...
Na na na na na.....
Why did you leave the streets, once we walked on.(x4)
It is the conspiracy of the times that you don't come.
It is my wish that once you come, then never go away."	
Rahat Fateh Ali Khan	Aaj Din Chadeya	"Ajj din chadheya
Tere rang varga
Ajj din chadheya
Tere rang varga
Phul sa hai khila aaj din
Rabba mere din yeh na dhale
Woh jo mujhe khwab mein mile
Use tu lagade ab gale
Tenu dil da vaasta
Rabba aaya dar digaar ke
Sara jahan chod chaad ke
Mere sapne sawar de
Tenu dil da vasta
Ajj din chadheya
Tere rang varga
Baksha gunaho ko
Sun ke duwao ko
Rabba pyaar hai
Tune sab ko hi de diya
Meri bhi aahon ko
Sun le duwao ko
Mujhko woh dila maine jisko hai dil diya
Aasmaan pe aasmaan uske de itna bata
Woh jo mujhko dekh ke hase
Pana chahun raat din jise
Rabba mere naam kar use
Tenu dil da vasta
Ajj din chadheya
Tere rang varga
(Maanga jo mera hai
Jaata kya tera hai
Maine kaun si tujhse jannat maang li
Kaisa khuda hai tu
Bas naam ka hai tu
Rabba jo teri itni si bhi na chali) – 2
Chahiye…"	"Today the day has come out
Bright,fair and clear as your complexion
The day has bloomed like a flower
God, may this day never be over
The one who meets me in my dreams
Make her come into my arms
I am binding you with my heart’s yearning
God, I have come to your door
leaving all the world
Make my dreams beautiful(or make them come true)
I am binding you with my heart's yearning
You have forgiven sins
after listening to prayers
It is love
that you have given to every single one
To my sighs too
Liten to my prayers
Help me get the one to whom I have given my heart
She is my hope, my thirst. Just let her know this
The one who smiles looking at me
To whom I want to make mine, day 'n night
God, assign her to me
I am binding you with my heart's yearning
I have just asked for what is mine
What do you stand to loose
I have not asked you for paradise
What kind of God are you?
You might only be a name afterall
that you can't even deliver my asking
What I need
please handover to me
May your lineage rejoice
May my love live long
Just give me my life
I am binding you with my heart’s yearning
"	
Rahat Fateh Ali Khan	Dagabaaz Re	"Dagabaaz re,
haye dagabaaz re
Tore naina bade dagabaaz rere
 
Ho tore naina haye
Naina naina naina haye
Dagabaaz re
haye dagabaaz re
Tore naina bade dagabaz re
 
Kal mile
haan kal mile
kal mile ee hum ka bhool gaye aaj re
Daga baaz re haye daghabaaz re
Tore naina bade dagaabaaz re
 
Kaahe khafa aise chulbul se bulbul
Kaahe na tu maane batiyaan haye
Kaahe pada peechhe jaane de bairi
main jaanoon kya tori ghatiya haye
Zindagi apni hum toka daan dayi de
Muskura ke jo maange praan dayi de
 
Kal mile
haan kal mile
Haye kal mile ee hum ka bhool gaye aaj re
Haye dagabaaz re haye dagabaaz re
Tore naina bada dagabaaz re
Dagabaaz dagabaaz dagabaaz re
Tore naina bade dagabaaz re
 
Darta jahaan humse hum tose darte
ee sab jaane mori raniya
maska lagao na chhodo ji chhodo
sab samajhti hai tori dhaniya
is adaa pe to hum kurbaan gaye ji
tohri na-na mein haami hai jaan gaye ji
 
Kal mile
haan kal mile
Haye kal mile ee hum ka bhool gaye aaj re
Haye dagabaaz re haye dagabaaz re
Tore naina bada dagabaaz re
Dagabaaz dagabaaz dagabaaz re
Tore naina bade dagabaaz re"	"Deceivers,
yeah, deceivers,
Your eyes are big time cheats, deceivers..
 
Oh! Your eyes...
Oh eyes...!
Deceivers,
yeah, deceivers,
Your eyes are big time cheats, deceivers..
 
They met (mine) yesterday,
Yeah, they met yesterday,
they met mine yesterday and forgot (me) today..
Deceivers,
Your eyes are big deceivers..
 
Why is the nightingale angry with Chulbul (his name),
why don't you listen to me?
Why are you behind me, leave, O enemy,
what do I know what's happening with you..
I'll give my life away to you..
If you ask with a smile, I'll give my life..
 
They met (mine) yesterday,
Yeah, they met yesterday,
they met mine yesterday and forgot (me) today..
Deceivers,
Your eyes are big deceivers..
Deceivers,
Your eyes are big deceivers..
 
The world fears me and I fear you,
everyone knows that O my queen..
Don't flatter me, leave me,
your darling gets it all..
I am sacrificed on this style of yours..
I got to know that there is yes in your no..
 
They met (mine) yesterday,
Yeah, they met yesterday,
they met mine yesterday and forgot (me) today..
Deceivers,
Your eyes are big deceivers..
Deceivers,
Your eyes are big deceivers.."	4
Rahat Fateh Ali Khan	Halka Halka	"Ye jo halka halka suroor hai
Tere ishq ka hi fitoor hai
Maine jo likha tha mita diya
Aur tujhko apna Khuda kiya
 
Ye jo halka halka suroor hai
Tune kuch kiya to zaroor hai
Jis din se tu hai dikha piya
Maine saans lena bhula diya
 
Jism se rooh ka
Ik safar ho tum
Aakhiri saans mein
Ik umar ho tum
 
Duniya ki bheed mein
Mujhko bas tu dikhe
Kya main tumko dikhu
Kaho naa tum
 
Ye jo halka halka suroor hai
Kuch ishq sa toh zaroor hai
Maine jagna sona bhula diya
Mujhe kya se kya hai banaa diya
 
Tu mere khoon mein
Beh raha hai kahin
Tu mere khwaab mein
Jag raha hai kahin
 
Meri har baat mein
Bas tera zikr hai
Kuch mere baare mein
Kaho na tum
 
Ye jo halka halka suroor hai
Tere ishq ka hi fitoor hai
Maine jo likha tha mita diya
Aur tujhko apna Khuda kiya
 
Kisi ne naa kiya hai
Jaisa ishq tera mera
Main daudta aata hoon
Koi naam le jo tera
 
Kisi ne na kiya hai
Jaisa ishq tera mera
Mere ghamon ki raat ka
Tu ujla savera (x2)
 
Rehne do na nashe mein
Tum phero na nazar
Halka sa hi aaya hai
Abhi chaahat ka asar
 
Kisi ne na kiya hai
Jaisa ishq tera mera
Main daudta aata hoon
Koi naam le jo tera
 
Kisi ne na kiya hai
Jaisa ishq tera mera
Mere ghamon ki raat ka
Tu ujla savera…
 
Ye jo halka halka suroor hai
Tune kuch kiya toh zaroor hai
Ye jo halka halka suroor hai
 
Kisi ne na kiya hai
Jaisa ishq tera mera
Mere ghamon ki raat ka
Tu ujla savera…"	"when I look at you, my thirst increases.
I wish to take two sips of yours every day.
You should never go far away from me.
I wish to take two sips of yours every day.
this slight intoxication that is there,
this first intoxication that is there,
your love is my craze.
is it your love or some madness?
I have sacrificed myself on you.
I have become all yours and finished myself.
this slight intoxication that is there,
this first intoxication that is there,
your beauty has this pride.
It's the fault of my beauty.
I have sacrificed myself on you.
I have become all yours and finished myself.
You seem special from every angle.
You are close today, so I feel thirsty.
You seem to be some fragrant sweetness.
You are close today, so I feel thirsty.
In your wish, on the path to find you,
In your inebriating sight,
I have sacrificed myself for you."	1
Rahat Fateh Ali Khan	Jag Ghoomeya	"Na wo akhiyan ruhani kahin
Na wo chehra noorani kahin
Kahin dil wali baatein bhi na
Na wo sajri jawani kahin
 
Jag ghoomeya thaare jaisa na koi (x2)
 
Na toh hansna rumaani kahin
Na toh khushboo suhani kahin
Na woh rangli adayein dekhin
Na woh pyari si nadani kahin
Jaisi tu hai waisi rehna
 
Jag ghumeya thaare jaisa na koi (x4)
 
Baarishon ke mausamon ki bheegi hariyali tu
 
Sardiyon mein gaalon pe jo aati hai wo lali tu
Raaton ka sukoon..
Raaton ka sukoon bhi hai
Subah ki azaan hai
Chaahaton ki chaadaron mein maine hai sambhali tu
 
Kahin agg jaisi jalti hai
Bane barkha ka pani kahin
 
Kabhi mann jaana chupke se
Yun hi apni chalani kahin
Jaisi tu hai waisi rehna
 
Jag ghoomeya thaare jaisa na koi (x2)
 
Apne naseebon mein yaa
Hausle ki baaton mein
Sukhon aur dukhon wali
Saari saugaton mein
Sang tujhe rakhna hai..
Sang tujhe rakhna hai, Tune sang rehna
 
Meri duniya mein bhi
Mere jazbaaton mein
Teri milti nishani kahin
 
Jo hai sabko dikhani kahin
Tu toh jaanti hai marke bhi
Mujhe aati hai nibhani kahi
Woh hi karna jo hai kehna
 
Jag ghoomeya thaare jaisa na koi (x4)"	"There is nowwhere those spritual eyes
There is nowwhere that bright face
There is also nowwhere talks of love
There is nowhere that pretty youth
I wandered all over world but I have not met like you yet
There is nowwhere romance
There is nowwhere that beautiful fragrance
I have neither seen that colorful gestures
There is nor that affectionate simplicity
You stay as you are
I wandered all over world but I have not met like you yet
You are wet greenery of rainy seasons
You are that blushing which appears on the ckeeks in winters
You are rest of nights
You are prayer of morning too
In the sheets of affections
I hold you
Like fire lights somewhere
You make water of rain
Sometimes you yeild
Stay as you are
I wandered all the world but no one is like you
In the luck of mine
In the talks of mortivation
In all the ocassions
Of happiness and sorrow
I want to keep you with me
I want to keep you with me
You will live with me
In my world too
In my emotions
Your similar souvenir somewhere
Which has to be shown everyone somewhere
You know, even after dying
I know how to continue
I want to do what I want to say"	1
Rahat Fateh Ali Khan	Jag Soona Soona Laage	"Main Taan Jiyan Na Maraan
Haay Ve Dass Main Ki Karan
Dil Jude Bina Hi Tut Gaye
Hath Mile Bina Hi Chhut Gaye
Ki Likhe Nae Lekh Kismat Ne
 
Baar Baar Ron Ankhiyan Tainu Jo Na Vekh Sakiyan
Khoh Leya Hai Yaar Kudarat Ne
Kattan Main Kiven Din Teri Saun Tere Bin
Main Taan Jiyan Na Maraan
 
Chhan Se Jo Toote Koi Sapna
Jag Soona Soona Laage
Jag Soona Soona Laage
Koi Rahe Na Jab Apna
 
Jag Soona Soona Laage
Jag Soona Soona Laage
Yeh Kyun Hota Hai
Jab Yeh Dil Rota Hai
Royen Sisak Sisak Ke Hawaayein
 
Jag Soona Soona Laage
Chhan Se Jo Toote Koi Sapna
Jag Soona Soona Laage
Jag Soona Soona Laage
 
Koi Rahe Na Jab Apna
Jag Soona Soona Laage
Jag Soona Soona Laage
Soona Laage Re
 
Roothi Roothi Saari Raatein
Pheeke Pheeke Saare Din
Viraani Si Viraani Hai
Tanhaayi Si Tanhaayi Hai
Aur Ik Hum Hain Pyaar Ke Bin Har Pal Chhin
 
Chhan Se Jo Toote Koi Sapna
Jag Soona Soona Laage
Jag Soona Soona Laage
 
Koi Rahe Na Jab Apna
Jag Soona Soona Laage
Jag Soona Soona Re
 
Patthron Ki Is Nagari Mein
Patthar Chehre Patthar Dil
Phirta Hai Maara Maara Kyun Raahon Mein Tu Aawaara
Yahaan Na Hoga Kuchh Haasil Mere Dil
 
Chhan Se Jo Toote Koi Sapna
Jag Soona Soona Laage
Jag Soona Soona Laage
 
Koi Rahe Na Jab Apna
Jag Soona Soona Laage
Jag Soona Soona Hai Toh
 
Yeh Kyun Hota Hai
Jab Yeh Dil Rota Hai
Royen Sisak Sisak Ke Hawaayein
 
Jag Soona Laage
Chhan Se Jo Toote Koi Sapna
Jag Soona Soona Laage
Jag Soona Soona Laage
 
Koi Rahe Na Jab Apna
Jag Soona Soona Laage
Jag Soona Soona Laage Re
Soona Laage Re"	"I feel neither alive nor dead
Please tell me what should I do
The bonds between the hearts broke before they could join
The hands got seperated even before they met
What has been written in the destiny
 
My eyes cry continuously without a glimpse of You, My Soulmate
It seems that nature has stolen You from Me
How do I pass the days and nights without You, My Soulmate
I feel neither alive nor dead
 
If a dream breaks in a single moment
The world seems lonely
The world seems lonely
When no loved one remains
 
The world seems lonely
The world seems lonely
Why does this happen
When this heart cries out
Even the wind seems as if it is crying?
 
The world seems lonely
If a dream breaks in a single moment
The world seems lonely
The world seems lonely
 
When no loved one remains
The world seems lonely
The world seems lonely
Seems lonely
 
All the nights seem upset
All the days are colourless
There is immense loneliness
There is immense solitude
And I am here spending every moment without a trace of love
 
If a dream breaks in a single moment
The world seems lonely
The world seems lonely
 
When no loved one remains
The world seems lonely
The world seems lonely
 
In this world built of stones
All the faces are stony, even the hearts are made of stone
Then why do I remain lonely, and roam the streets like a destitute
You shall not attain anything here, my heart
 
If a dream breaks in a single moment
The world seems lonely
The world seems lonely
 
When no loved one remains
The world seems lonely
The world seems lonely
 
Why does this happen
When this heart cries out
Even the wind seems as if it is crying?
 
The world seems lonely
If a dream breaks in a single moment
The world seems lonely
The world seems lonely
 
When no loved one remains
The world seems lonely
The world seems lonely
Seems lonely"	2
